Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Sales Manager,$143000 - $144000,Biology expert to teach students,4.9,bio,"Miami, FL","Miami, FL",200-500,1986,Private,Software,Services,$15M,"Chaithanya,narayana"
UX Designer,$81000 - $216000,Lead and manage projects to successful completion,3.3,Project Leads,"Denver, CO","Denver, CO","500-1,000",1987,Private,Software,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$110000 - $147000,Biology expert to teach students,5.0,bio,"Miami, FL","Miami, FL",200-500,2017,Private,Health,Services,$15M,"Chaithanya,narayana"
Sales Manager,$162000 - $216000,Lead marketing campaigns and strategies,3.4,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1981,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$139000 - $232000,Manage human resources and employee relations,4.4,People Solutions,"Miami, FL","Miami, FL",200-500,1991,Private,Finance,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$107000 - $159000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,2017,Private,Education,Services,$15M,"Chaithanya,narayana"
Product Manager,$86000 - $214000,Prepare and manage financial records and reports,3.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1970,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Operations Manager,$101000 - $234000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2006,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
Data Analyst,$83000 - $218000,Conduct financial analysis to support decision making,3.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1977,Public,Education,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$169000 - $90000,Prepare and manage financial records and reports,4.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1998,Public,Health,Financial,$100M,"Accounting Solutions, TaxPro"
UX Designer,$63000 - $193000,Develop and maintain software systems,4.4,Code Masters,"Austin, TX","Austin, TX","500-1,000",1972,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Operations Manager,$153000 - $176000,Develop and maintain software systems,3.2,Code Masters,"Austin, TX","Austin, TX","500-1,000",1989,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$155000 - $249000,Develop and maintain software systems,3.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1994,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$59000 - $84000,Analyze and interpret complex data using ML techniques,3.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1990,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Software Engineer,$171000 - $175000,Analyze business processes and provide solutions,5.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2018,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Software Engineer,$69000 - $238000,Oversee product development from ideation to launch,4.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1983,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$100000 - $80000,Conduct financial analysis to support decision making,4.2,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1994,Public,Technology,Financial,$500M,"MoneyWorks, CapitalInsights"
Sales Manager,$179000 - $84000,Biology expert to teach students,3.6,bio,"Miami, FL","Miami, FL",200-500,1999,Private,Education,Services,$15M,"Chaithanya,narayana"
Operations Manager,$110000 - $146000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1991,Private,Software,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$199000 - $105000,Develop and maintain software systems,4.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1994,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$117000 - $191000,Design user interfaces and improve user experiences,4.7,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2021,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Financial Analyst,$174000 - $129000,Biology expert to teach students,4.9,bio,"Miami, FL","Miami, FL",200-500,2004,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Project Manager,$175000 - $123000,Oversee product development from ideation to launch,4.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2017,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$161000 - $86000,Prepare and manage financial records and reports,3.1,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1985,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Financial Analyst,$156000 - $196000,Prepare and manage financial records and reports,3.2,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2005,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$116000 - $179000,Design user interfaces and improve user experiences,4.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2016,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$80000 - $144000,Oversee product development from ideation to launch,5.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2021,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$69000 - $124000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,1982,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Product Manager,$96000 - $106000,Manage human resources and employee relations,3.3,People Solutions,"Miami, FL","Miami, FL",200-500,1976,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$75000 - $230000,Design user interfaces and improve user experiences,3.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2002,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$54000 - $124000,Lead marketing campaigns and strategies,3.0,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2018,Private,Finance,Services,$100M,"AdFocus, BrandBoost"
Financial Analyst,$77000 - $156000,Design user interfaces and improve user experiences,4.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1994,Private,Marketing,Creative,$250M,"UserFlow, ExperienceHub"
Financial Analyst,$70000 - $161000,Lead marketing campaigns and strategies,4.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2022,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Marketing Manager,$134000 - $131000,Biology expert to teach students,3.5,bio,"Miami, FL","Miami, FL",200-500,2001,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Sales Manager,$131000 - $219000,Biology expert to teach students,3.4,bio,"Miami, FL","Miami, FL",200-500,2016,Private,Technology,Services,$15M,"Chaithanya,narayana"
Sales Manager,$68000 - $243000,Manage human resources and employee relations,4.3,People Solutions,"Miami, FL","Miami, FL",200-500,1974,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$69000 - $176000,Design user interfaces and improve user experiences,3.1,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2013,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$176000 - $237000,Oversee product development from ideation to launch,3.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2005,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Sales Manager,$147000 - $221000,Analyze business processes and provide solutions,4.7,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2002,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$178000 - $171000,Develop and maintain software systems,3.8,Code Masters,"Austin, TX","Austin, TX","500-1,000",2014,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$88000 - $111000,Lead marketing campaigns and strategies,3.1,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1976,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Data Scientist,$104000 - $205000,Lead and manage projects to successful completion,3.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1978,Private,Education,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$172000 - $185000,Biology expert to teach students,4.0,bio,"Miami, FL","Miami, FL",200-500,1994,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Data Analyst,$88000 - $227000,Analyze business processes and provide solutions,5.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1978,Public,Retail,Professional Services,$400M,"ConsultMaster, BizExperts"
Software Engineer,$91000 - $145000,Manage human resources and employee relations,3.1,People Solutions,"Miami, FL","Miami, FL",200-500,1983,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Project Manager,$152000 - $118000,Lead marketing campaigns and strategies,3.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2009,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$128000 - $200000,Lead marketing campaigns and strategies,5.0,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2017,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Data Scientist,$90000 - $128000,Prepare and manage financial records and reports,4.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1983,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$181000 - $105000,Analyze business processes and provide solutions,4.2,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1993,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Project Manager,$61000 - $228000,Lead marketing campaigns and strategies,3.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2004,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$61000 - $209000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2022,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$116000 - $83000,Lead and manage projects to successful completion,3.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",2011,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$149000 - $125000,Biology expert to teach students,5.0,bio,"Miami, FL","Miami, FL",200-500,1980,Private,Retail,Services,$15M,"Chaithanya,narayana"
UX Designer,$124000 - $197000,Oversee product development from ideation to launch,4.8,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2001,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Software Engineer,$122000 - $224000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,1995,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Data Scientist,$93000 - $151000,Analyze business processes and provide solutions,3.7,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1977,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$70000 - $194000,Develop and maintain software systems,3.0,Code Masters,"Austin, TX","Austin, TX","500-1,000",1984,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$150000 - $203000,Conduct financial analysis to support decision making,4.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1984,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Marketing Manager,$122000 - $211000,Conduct financial analysis to support decision making,4.5,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2010,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$121000 - $87000,Prepare and manage financial records and reports,3.4,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2011,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
Sales Manager,$146000 - $135000,Prepare and manage financial records and reports,4.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2022,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$93000 - $182000,Develop and maintain software systems,5.0,Code Masters,"Austin, TX","Austin, TX","500-1,000",1999,Public,Finance,Technology,$300M,"DevSoft, CodeTech"
Operations Manager,$172000 - $225000,Lead marketing campaigns and strategies,3.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1973,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$104000 - $190000,Analyze and interpret complex data using ML techniques,4.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1975,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
Software Engineer,$51000 - $223000,Manage human resources and employee relations,3.3,People Solutions,"Miami, FL","Miami, FL",200-500,2010,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Sales Manager,$129000 - $170000,Analyze business processes and provide solutions,4.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2008,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$76000 - $193000,Analyze and interpret complex data using ML techniques,4.4,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2003,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$110000 - $114000,Develop and maintain software systems,4.2,Code Masters,"Austin, TX","Austin, TX","500-1,000",1973,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$54000 - $213000,Design user interfaces and improve user experiences,4.6,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1987,Private,Marketing,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$81000 - $218000,Lead and manage projects to successful completion,4.1,Project Leads,"Denver, CO","Denver, CO","500-1,000",1974,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Data Analyst,$67000 - $227000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",2011,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Data Analyst,$134000 - $118000,Lead and manage projects to successful completion,4.7,Project Leads,"Denver, CO","Denver, CO","500-1,000",1982,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$97000 - $190000,Conduct financial analysis to support decision making,4.8,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1972,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Analyst,$56000 - $220000,Oversee product development from ideation to launch,4.4,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2011,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Product Manager,$70000 - $125000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1986,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Project Manager,$184000 - $141000,Manage human resources and employee relations,4.2,People Solutions,"Miami, FL","Miami, FL",200-500,1993,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$72000 - $158000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1974,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$175000 - $177000,Oversee product development from ideation to launch,4.4,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2014,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$187000 - $215000,Lead and manage projects to successful completion,4.3,Project Leads,"Denver, CO","Denver, CO","500-1,000",2000,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Data Scientist,$86000 - $123000,Manage human resources and employee relations,4.0,People Solutions,"Miami, FL","Miami, FL",200-500,1989,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$90000 - $80000,Conduct financial analysis to support decision making,5.0,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1979,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Operations Manager,$149000 - $174000,Oversee product development from ideation to launch,3.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2012,Public,Finance,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$147000 - $154000,Oversee product development from ideation to launch,5.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1992,Public,Finance,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$96000 - $122000,Conduct financial analysis to support decision making,4.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2006,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$65000 - $87000,Analyze business processes and provide solutions,3.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1974,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
UX Designer,$115000 - $125000,Develop and maintain software systems,4.5,Code Masters,"Austin, TX","Austin, TX","500-1,000",2006,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$158000 - $123000,Develop and maintain software systems,4.3,Code Masters,"Austin, TX","Austin, TX","500-1,000",1985,Public,Health,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$100000 - $184000,Biology expert to teach students,3.7,bio,"Miami, FL","Miami, FL",200-500,1981,Private,Retail,Services,$15M,"Chaithanya,narayana"
Sales Manager,$98000 - $156000,Biology expert to teach students,3.3,bio,"Miami, FL","Miami, FL",200-500,1996,Private,Health,Services,$15M,"Chaithanya,narayana"
Software Engineer,$60000 - $170000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1987,Public,Finance,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$116000 - $148000,Lead and manage projects to successful completion,4.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",1971,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
Product Manager,$140000 - $156000,Biology expert to teach students,3.3,bio,"Miami, FL","Miami, FL",200-500,2022,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Operations Manager,$132000 - $189000,Oversee product development from ideation to launch,4.7,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1973,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$127000 - $221000,Analyze and interpret complex data using ML techniques,4.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1976,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Product Manager,$101000 - $127000,Lead marketing campaigns and strategies,3.9,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1970,Private,Education,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$55000 - $104000,Prepare and manage financial records and reports,4.3,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2002,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Operations Manager,$79000 - $162000,Develop and maintain software systems,3.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",1980,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$191000 - $159000,Manage human resources and employee relations,3.6,People Solutions,"Miami, FL","Miami, FL",200-500,1973,Private,Consulting,Services,$150M,"Workplace Solutions, HR Hub"
Data Scientist,$52000 - $184000,Lead marketing campaigns and strategies,3.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2009,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
Sales Manager,$181000 - $159000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1971,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$103000 - $110000,Oversee product development from ideation to launch,4.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2017,Public,Consulting,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Scientist,$175000 - $94000,Analyze and interpret complex data using ML techniques,4.7,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2018,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$193000 - $174000,Prepare and manage financial records and reports,4.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1994,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$98000 - $165000,Analyze and interpret complex data using ML techniques,3.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1974,Private,Software,IT,$500M,"DataWorld, Insight Global"
Project Manager,$94000 - $119000,Analyze and interpret complex data using ML techniques,3.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2011,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Software Engineer,$140000 - $224000,Lead marketing campaigns and strategies,3.8,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1971,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$84000 - $195000,Design user interfaces and improve user experiences,3.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1987,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Project Manager,$55000 - $200000,Analyze business processes and provide solutions,4.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1977,Public,Consulting,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$127000 - $237000,Biology expert to teach students,4.9,bio,"Miami, FL","Miami, FL",200-500,2022,Private,Technology,Services,$15M,"Chaithanya,narayana"
Data Scientist,$68000 - $152000,Analyze and interpret complex data using ML techniques,3.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1983,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Project Manager,$157000 - $136000,Analyze business processes and provide solutions,3.7,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1976,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$60000 - $165000,Analyze and interpret complex data using ML techniques,4.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1994,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$156000 - $198000,Manage human resources and employee relations,3.2,People Solutions,"Miami, FL","Miami, FL",200-500,1994,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$59000 - $171000,Conduct financial analysis to support decision making,4.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1992,Public,Technology,Financial,$500M,"MoneyWorks, CapitalInsights"
Sales Manager,$83000 - $218000,Manage human resources and employee relations,3.2,People Solutions,"Miami, FL","Miami, FL",200-500,2011,Private,Consulting,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$134000 - $96000,Analyze business processes and provide solutions,4.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1970,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$82000 - $208000,Conduct financial analysis to support decision making,4.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2003,Public,Consulting,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Analyst,$183000 - $132000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,2022,Private,Marketing,Services,$15M,"Chaithanya,narayana"
UX Designer,$189000 - $106000,Develop and maintain software systems,3.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",2008,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$138000 - $99000,Lead and manage projects to successful completion,4.3,Project Leads,"Denver, CO","Denver, CO","500-1,000",1980,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Sales Manager,$56000 - $139000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1986,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$175000 - $141000,Biology expert to teach students,3.5,bio,"Miami, FL","Miami, FL",200-500,1980,Private,Finance,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$67000 - $158000,Conduct financial analysis to support decision making,4.2,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1971,Public,Technology,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$63000 - $208000,Conduct financial analysis to support decision making,3.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2005,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Marketing Manager,$179000 - $103000,Conduct financial analysis to support decision making,3.3,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1979,Public,Education,Financial,$500M,"MoneyWorks, CapitalInsights"
Marketing Manager,$64000 - $209000,Conduct financial analysis to support decision making,4.1,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1999,Public,Education,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$171000 - $143000,Conduct financial analysis to support decision making,3.2,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2009,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Financial Analyst,$126000 - $219000,Lead and manage projects to successful completion,3.6,Project Leads,"Denver, CO","Denver, CO","500-1,000",1978,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$157000 - $131000,Analyze business processes and provide solutions,3.8,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2013,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$104000 - $206000,Lead marketing campaigns and strategies,3.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2011,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Financial Analyst,$109000 - $200000,Prepare and manage financial records and reports,4.1,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2015,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$116000 - $211000,Conduct financial analysis to support decision making,3.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1983,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
Financial Analyst,$168000 - $137000,Develop and maintain software systems,4.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",2015,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$68000 - $183000,Manage human resources and employee relations,3.9,People Solutions,"Miami, FL","Miami, FL",200-500,2004,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$169000 - $179000,Prepare and manage financial records and reports,3.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1978,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$197000 - $201000,Design user interfaces and improve user experiences,3.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1976,Private,Consulting,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$172000 - $245000,Lead marketing campaigns and strategies,4.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1972,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Data Analyst,$109000 - $211000,Oversee product development from ideation to launch,3.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2000,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$87000 - $233000,Lead marketing campaigns and strategies,3.1,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1986,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Project Manager,$73000 - $130000,Analyze business processes and provide solutions,3.3,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1981,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Scientist,$178000 - $194000,Analyze business processes and provide solutions,4.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1994,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Financial Analyst,$172000 - $87000,Lead and manage projects to successful completion,4.1,Project Leads,"Denver, CO","Denver, CO","500-1,000",1977,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$151000 - $86000,Oversee product development from ideation to launch,3.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1999,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$108000 - $139000,Develop and maintain software systems,3.4,Code Masters,"Austin, TX","Austin, TX","500-1,000",2001,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$153000 - $248000,Analyze and interpret complex data using ML techniques,3.8,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1970,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
